id;airline;plane_model;total_seats;origin;destination;schedule_departure_date;schedule_arrival_date;real_departure_date;real_arrival_date;pilot;copilot;notes
0000000001;Jet2.com;Airbus A321;220;MAN;PRG;2021/07/01 05:56:50;2021/07/01 08:26:50;2021/07/01 05:56:50;2021/07/01 10:56:50;Robert Williams;Michael Miller;
0000000002;Ryanair;Boeing 737;189;DUB;TXL;2021/07/20 09:17:18;2021/07/20 11:17:18;2021/07/20 09:47:18;2021/07/20 14:02:18;Jane Davis;Emily Davis;The airport is busy, but we'll find a gate shortly.
0000000003;EasyJet;Airbus A320;180;LHR;CDG;2022/07/19 13:26:30;2022/07/19 14:41:30;2022/07/19 14:11:30;2022/07/19 16:41:30;Sarah Jones;Jane Smith;
0000000004;Iberia;Airbus A321;220;MAD;LIS;2023/09/01 16:10:01;2023/09/01 17:25:01;2023/09/01 16:25:01;2023/09/01 19:15:01;Robert Johnson;John Moore;
0000000005;Ryanair;Boeing 737;WPB;DUB;BCN;2021/02/12 14:46:06;2021/02/12 17:31:06;2021/02/12 14:46:06;2021/02/12 20:16:06;Laura Wilson;Sarah Davis;
0000000006;British Airways;Boeing 737;150;LHR;AMS;2023/06/02 16:05:54;2023/06/02 17:15:54;2023/06/02 16:35:54;2023/06/02 18:55:54;Sarah Smith;Emily Johnson;
0000000007;Ryanair;Boeing 737;189;dUb;BCN;2021/10/09 01:12:03;2021/10/09 03:57:03;2021/10/09 01:17:03;2021/10/09 06:47:03;Laura Wilson;Sarah Davis;
0000000008;Vueling Airlines;Airbus A319;160;BCN;FCO;2022/02/14 05:32:55;2022/02/14 03:42:55;2022/02/14 04:02:55;2022/02/14 08:27:55;Jane Moore;Emily Taylor;
0000000009;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2023/05/20 00:10:27;2023/05/20 00:55:27;2023/05/20 00:10:27;2023/05/20 01:40:27;William Brown;Emily Wilson;
0000000010;EasyJet;Airbus A320;180;LHR;CDG;2021/11/21 08:20:34;2021/11/21 09:35:34;2021/11/21 09:05:34;2021/11/21 12:20:34;Sarah Jones;Jane Smith;
0000000011;Aeroflot;Airbus A320;250;SVO;tXl;2022/04/03 14:29:37;2022/04/03 17:44:37;2022/04/03 14:44:37;2022/04/03 21:14:37;William Davis;Emily Davis;
0000000012;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2022/07/09 09:48:59;2022/07/09 08:38:59;2022/07/09 08:43:59;2022/07/09 11:03:59;Sarah Davis;Michael Brown;
0000000013;Lufthansa;Boeing 777;300;FRA;MAD;2022/05/13 11:20:34;2022/05/13 13:50:34;2022/05/13 12:05:34;2022/05/13 17:50:34;Emily Davis;Laura Brown;
0000000014;KLM Royal Dutch Airlines;Airbus A330;250;AMS;vIE;2023/07/14 12:01:11;2023/07/14 14:26:11;2023/07/14 12:46:11;2023/07/14 18:21:11;Emily Davis;John Smith;
0000000015;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2021/12/10 09:22:01;2021/12/10 10:52:01;2021/12/10 09:22:01;2021/12/10 13:07:01;Olivia Brown;Sarah Moore;
