id;name;email;phone_number;birth_date;sex;passport;country_code;address;account_creation;pay_method;account_status
AlícSá-Mendes;Alícia Sá-Mendes;alícsá-mendes@li3.pt;(351) 259 545 254;1979/11/27;F;CA279133;PT;Avenida Gabriela Guerreiro, 42518-827 Rio Maior;2016/09/10 17:34:41;debit_card;active
GusFreitas677;Gustavo Freitas;gusfreitas677@li3.pt;937 705 868;1994/03/02;M;LG587674;PT;R. de Lourenço, 478828-081 Vizela;2015/06/01 22:44:07;cash;active
IMacedo;Isaac Macedo;imacedo@li3.pt;(351) 920986534;1997/03/14;M;ES723156;PT;Travessa Freitas, 8240931-629 Macedo de Cavaleiros;2013/08/04 02:56:33;cash;active
TomNunes92;Tomás Nunes;tomnunes92@li3.pt;(351) 965 535 392;1969/09/17;M;KC256283;PT;Largo Melissa Garcia, 794837-387 Oliveira do Hospital;2016/01/24 08:25:19;credit_card;active
DiCastro;Diogo Castro;dicastro@li3.pt;+351920544405;1981/07/06;M;VM134435;PT;R. Pereira, 851476-943 Porto Santo;2010/06/01 18:00:53;cash;inactive
LorLoureiro;Lorena de Loureiro;lorloureiro@li3.pt;(351) 928 485 228;1973/04/12;F;PO057990;PT;Praça Lopes, S/N0767-827 Estremoz;2017/02/27 16:30:51;debit_card;active
NáFreitas;Nádia Freitas;náfreitas@li3.pt;(351) 963 845 006;1953/07/06;F;ME328649;PT;R. Cardoso, 907848-130 Torres Vedras;2011/02/27 04:28:24;cash;active
LetíciOliveira;Letícia Oliveira;letícioliveira@li3.pt;(351) 918173761;1991/08/09;F;MW039393;PT;Av de Henriques, S/N5367-121 Leiria;2014/09/02 00:58:37;cash;active
ÂngBarros2020;Ângela da Barros;ângbarros2020@li3.pt;938 073 906;1997/07/25;F;ES763135;PT;R. Ramos, 970241-819 Costa da Caparica;2015/10/19 23:33:54;credit_card;active
JéssiTavares910;Jéssica Tavares;jéssitavares910@li3.pt;+351296366330;1960/02/22;F;ZE466021;PT;Praça de Cintura Interna, 77791-070 Lixa;2015/05/18 07:54:31;cash;active
JoMota;Jorge Mota;jomota@li3.pt;932677085;1990/05/11;M;KT062866;PT;R. Eduarda Torres, 528462-868 Vendas Novas;2018/03/28 17:03:23;debit_card;active
FredeSantos-Macedo1115;;fredesantos-macedo1115@li3.pt;(351) 964077348;1984/09/11;M;GJ773706;PT;Avenida de Sá, 4091797-847 Mealhada;2015/09/26 22:37:31;credit_card;active
IsaMagalhães398;Isabel Magalhães;isamagalhães398@li3.pt;915530865;1986/12/04;F;KI330415;PT;Largo Duarte Barros, 931150-198 Estarreja;2015/09/15 00:19:18;cash;active
ClaSimões115;Clara Simões;clasimões115@li3.pt;+351923819869;1988/02/29;F;RJ244265;PT;Av do Seminário, 556845-428 Agualva-Cacém;2019/01/16 08:10:15;cash;inactive
WMacedo1009;William Macedo;wmacedo1009@li3.pt;(351) 914155634;2003/12/02;M;MS903005;PT;Avenida de Carneiro, 606545-208 Costa da Caparica;2019/06/29 06:07:26;credit_card;ACTIVE
Fabiana-LaurMoura1073;Fabiana-Laura Moura;fabiana-laurmoura1073@li3.pt;(351) 962 447 777;1971/05/23;F;II368475;PT;Avenida Ana Ribeiro, 763460-797 Costa da Caparica;2018/02/07 18:53:10;cash;active
GonSoares-Matias1259;Gonçalo Soares-Matias;gonsoares-matias1259@li3.pt;928 482 271;2005/11/24;M;UH541214;PT;Largo Escuro, S/N5533-535 Beja;2016/05/28 22:26:46;debit_card;active
TiaSimões333;Tiago Simões;tiasimões333@li3.pt;(351) 963994705;11/12/2020;M;OM278922;PT;Avenida Denis Ferreira, 50482-728 Queluz;2010/11/12 04:40:42;cash;active
ÉriLoureiro827;Érica da Loureiro;ériloureiro827@li3.pt;(351) 963555714;1956/06/20;F;ZU725584;PT;Largo Manuel Paiva, 7199136-175 Reguengos de Monsaraz;2012/03/05 01:38:00;debit_card;active
MargBarros415;Margarida Barros;margbarros415@li3.pt;(351) 932 184 271;1962/07/09;F;YQ577790;PT;Praça de Morais, 872240-309 Entroncamento;2018/08/02 19:52:20;debit_card;active
PatrícMarques35;Patrícia Marques;patrícmarques35@li3.pt;(351) 927 928 553;1967/05/08;F;JG874227;PT;Praça Norte do Bairro da Encarnação, 40895-394 Ílhavo;2014/04/22 01:41:47;credit_card;active
DuarNogueira;Duarte Nogueira;duarnogueira@li3.pt;(351) 967 902 709;1964/01/12;M;QP880947;PT;Av Prof. António José Saraiva, 30307-158 Amadora;2020/04/19 02:55:28;credit_card;active
SantCruz;Santiago Cruz;santcruz@li3.pt;912263367;1970/01/26;M;BG282639;PT;Alameda de Figueiredo, 656280-905 Gandra;2010/02/23 11:38:42;debit_card;active
ÍrMendes475;Íris Mendes;írmendes475@li3.pt;(351) 926761686;1986/04/30;F;PC457543;PT;Avenida de Abreu, 229158-980 Fundão;2013/10/28 07:26:34;debit_card;active
RafaeTorres1649;Rafaela-Ana Torres;rafaetorres1649@li3.pt;(351) 924 058 526;1981/03/17;F;KE506147;PT;R. Ramos, 87812-907 Pinhel;2011/07/17 01:34:01;cash;active
VNogueira1670;Vera da Nogueira;vnogueira1670@li3.pt;(351) 930839841;1955/04/17;F;PG711425;PT;Av Valente, 325665-839 Oliveira do Hospital;2015/05/05 08:50:01;cash;active
MNeto;Mauro Neto;mneto@li3.pt;934 365 854;1983/12/02;M;PF526048;PT;Av de Pinto, 7648759-454 Tavira;2010/12/09 22:25:07;cash;active
MaVaz1704;Madalena Vaz;mavaz1704@li3.pt;+351916355433;1973/03/24;F;JK937478;PT;Largo Edgar Cardoso, 221128-315 Valongo;2013/10/27 01:04:24;cash;active
RenPinho;Renato Pinho;renpinho@li3.pt;(351) 929118526;1951/07/10;M;FC928390;PT;R. de Baptista, 971637-134 Trofa;2014/11/05 07:51:21;debit_card;active
SérgDomingues-Neves;Sérgio Domingues-Neves;sérgdomingues-neves@li3.pt;(351) 916949017;1998/01/28;M;ZV365136;PT;Rua da Senhora da Luz, 296049-022 Macedo de Cavaleiros;2013/03/12 13:57:49;cash;active
NúAmorim;Núria Amorim;núamorim@li3.pt;+351217309617;2002/01/29;F;YW787173;PT;Alameda Ivan Correia, S/N4856-055 Santiago do Cacém;2019/07/03 03:57:09;cash;active
CarBaptista1744;Carlos Baptista;carbaptista1744@li3.pt;934 399 444;1989/07/11;M;EU741317;PT;Travessa de Moura, 486158-051 Fafe;2011/01/06 01:30:55;cash;active
LucMota1082;Luca Mota;lucmota1082@li3.pt;+351922980784;1988/04/22;M;ZX321439;PT;R. da Feiteira, 65530-357 Almada;2018/02/07 10:28:04;credit_card;active
MiMoreira557;Mia do Moreira;mimoreira557@li3.pt;268 231 588;1966/06/18;F;IQ426313;PT;Praça de D. Pedro Pitões, 4166417-248 Freamunde;2020/09/02 09:28:32;cash;active
RicardMiranda1717;Ricardo Miranda;ricardmiranda1717@li3.pt;(351) 913038028;1989/06/07;M;SO500033;PT;Avenida de Soares, 3513482-766 Mêda;2014/06/03 15:51:32;credit_card;active
JoCruz;Joel Cruz;jocruz@li3.pt;(351) 969 737 710;1982/11/08;M;JQ540200;PT;Av de Pacheco, S/N4837-708 Paredes;2013/10/29 15:28:34;debit_card;active
LLopes936;Larissa da Lopes;llopes936@li3.pt;+351927831351;1960/04/01;F;ZA600602;PT;Praça da Luz, S/N4838-477 Rio Tinto;2010/02/25 08:31:36;credit_card;active
PatrícCastro1378;Patrícia da Castro;patríccastro1378@li3.pt;(351) 936405063;1976/09/27;F;ZE904358;PT;Largo de Andrade, 385911-333 Valbom;2017/05/14 18:43:53;credit_card;active
BárVieira;Bárbara Vieira;bárvieira@li3.pt;(351) 910869481;2004/02/27;F;QQ898724;PT;Praça Francisca Reis, 997606-325 Santarém;2014/04/19 16:50:45;credit_card;active
CaOliveira;;caoliveira@li3.pt;968 981 966;1986/03/30;M;OB238691;PT;Rua de Castro, 704239-037 Amarante;2010/01/27 14:03:39;debit_card;inactive
EduNunes;Eduardo Nunes;edununes@li3.pt;(351) 910932370;1983/09/19;M;CC484363;PT;Largo Lia Nunes, 646871-896 Santa Maria da Feira;2017/03/16 15:48:31;cash;active
SaSá763;Samuel Sá;sasá763@li3.pt;+351243710565;1967/01/08;M;ET330221;PT;Avenida Moura, S/N7061-543 Miranda do Douro;2013/12/12 12:55:02;debit_card;active
EmmFigueiredo;Emma Figueiredo;emmfigueiredo@li3.pt;(351) 915 595 114;1986/02/04;F;ZL582993;PT;Largo Marcos Reis, 54892-823 Vendas Novas;2017/03/21 00:39:34;credit_card;active
ÉriCampos;Érica Campos;éricampos@li3.pt;(351) 276084170;1972/09/01;F;CH918410;PT;R. Cunha, S/N3052-592 Torres Novas;2018/01/03 15:37:23;credit_card;active
KMacedo1366;Kyara Macedo;kmacedo1366@li3.pt;+351965555330;1989/12/11;F;AQ386606;PT;Alameda de Valente, 2020461-775 Angra do Heroísmo;2020/06/22 11:10:49;cash;active
IMota;Ivo Mota;imota@li3.pt;236227779;1952/01/03;M;XT393385;PT;R. de Paiva, 4021559-727 Amora;2012/04/01 22:49:41;debit_card;Active
ToHenriques497;Tomé do Henriques;tohenriques497@li3.pt;(351) 930945227;1991/11/25;M;KB161252;PT;Travessa Rita Pinho, 838124-212 Marinha Grande;2010/10/14 00:13:52;credit_card;active
IvaAbreu1400;Ivan Abreu;ivaabreu1400@li3.pt;936 980 565;1987/09/06;M;BU254005;PT;Avenida de Domingues, 195713-421 Beja;2015/09/14 15:17:52;credit_card;Active
LAbreu;Lisandro Abreu;labreu@li3.pt;(351) 969039359;1992/07/14;M;WX821120;PT;Largo de Sá, 255386-659 Tarouca;2020/08/24 14:33:01;debit_card;inactive
BrMatos1143;Bryan Matos;brmatos1143@li3.pt;914973842;1965/09/21;M;SK991998;PT;Largo de Cima, 196348-863 Porto;2011/03/07 13:55:06;debit_card;active
AlexandGaspar;Alexandra Gaspar;alexandgaspar@li3.pt;(351) 921 574 056;1982/10/11;F;KC307341;PT;Praça do Mestre de Aviz, 728219-701 Vizela;2012/08/02 03:08:22;credit_card;active
IMorais612;Isabela Morais;imorais612@li3.pt;223861450;1968/08/24;F;GN289956;PT;Travessa de Costa, 679521-707 Leiria;2020/05/04 04:59:38;cash;active
GoPires1506;Gonçalo da Pires;gopires1506@li3.pt;(351) 914830614;1968/05/20;M;JS885632;PT;Largo Henriques, 4235063-984 Sacavém;2016/02/19 20:30:28;credit_card;Inactive
MiCampos;Miguel Campos;micampos@li3.pt;922860894;2002/09/05;M;AG615288;PT;Alameda do Mar, 83767-241 Costa da Caparica;2011/08/01 02:00:37;credit_card;active
SérgiFreitas841;Sérgio Freitas;sérgifreitas841@li3.pt;282 348 448;1959/10/23;M;ES299285;PT;Alameda de Brito, 490300-556 Póvoa de Santa Iria;2012/03/17 07:51:28;credit_card;active
MadalenPaiva;Madalena da Paiva;madalenpaiva@li3.pt;+351929079368;2004/04/09;F;RF337206;PT;Travessa David Figueiredo, 9857291-277 Lagoa;2011/07/25 09:59:34;cash;active
CaFernandes-Nogueira;Carminho Fernandes-Nogueira;cafernandes-nogueira@li3.pt;(351) 259 600 297;1968/12/09;F;FT267911;PT;R. Letícia Mendes, 687759-008 Oliveira do Bairro;2012/10/03 20:07:17;debit_card;ACTIVE
IaLeite-Mendes685;Iara Leite-Mendes;ialeite-mendes685@li3.pt;(351) 939734418;1951/08/09;F;YW587679;PT;Travessa Castro, 269126-055 Estremoz;2011/03/17 10:55:05;cash;active
MBranco;Mafalda Branco;mbranco@li3.pt;+351202678928;1956/07/06;F;BT374415;PT;Rua Simões, 293932-106 Odivelas;2015/11/22 06:38:54;credit_card;active
RNunes281;Rui Nunes;rnunes281@li3.pt;+351921268924;1977/07/10;M;NB158911;PT;Travessa Ernesto Veiga de Oliveira, 61045-113 Faro;2020/12/28 19:13:58;debit_card;active
